Date,Open,High,Low,Close,WAP
10-09-13,873.6,892.1,866.2,888.65,879.8247641
11-09-13,890.4,892.5,875,887.3,884.5980311
12-09-13,888.15,900,870,873.95,883.6522913
13-09-13,868.9,883.5,865.25,873.25,876.0380059
16-09-13,887.5,887.5,853.85,861.65,866.3759436
17-09-13,858.5,864,853,858.1,858.5721779
18-09-13,860,873.3,857,870.45,867.0430048
19-09-13,885,895.55,880,891.05,886.4979063
20-09-13,886.25,900.9,870,882.6,886.2529321
23-09-13,871,880.9,864.5,874.6,870.4467628
24-09-13,870.4,884,868.1,874.35,877.3682361
25-09-13,872,874,842.6,848.7,852.4084925
26-09-13,848.7,849.45,835.6,838.55,841.3701786
27-09-13,843,853.9,838,840.2,846.1100917
30-09-13,831.5,844.5,819.05,822.35,831.2215019
01-10-13,826.8,830.35,818.5,822.3,824.531351
03-10-13,824.9,847.9,824.9,846.1,839.5204407
04-10-13,842,859.25,838.2,853.4,850.1204463
07-10-13,845.55,852.5,836.65,843.85,842.1351566
08-10-13,850,854,839.55,843.85,844.2015648
09-10-13,841,866.9,838,861,856.2679488
10-10-13,857.5,862.5,848.25,859.8,856.5236504
11-10-13,867,868,855.1,863,861.1267225
14-10-13,864,874.9,863.1,870.25,869.6306197
15-10-13,896.25,899,863.7,866.7,875.7800397
17-10-13,868,887.7,865.25,879.3,880.2884724
18-10-13,882,907.95,880.75,905.35,898.9323827
21-10-13,905,915,896.75,913.35,906.9160678
22-10-13,907.4,911,897.8,903.6,903.4392298
23-10-13,904,909.45,888.55,895.85,897.8364314
24-10-13,896,909.95,881,884.6,895.5230716
